Sloka,Prose
āsādya ca tato rāmaṃ kṛtāñjalipuṭo'bhavat kṛtāñjalau sthite tasminvānarāścābhavaṃstathā,tataḥ rāmam āsādya kṛtāñjalipuṭaḥ abhavat tasmin kṛtāñjalau sthite vānarāśca tathā abhavan
imānikhalupadmānipādayoryaiḥkulastriyaḥ adhirājye'bhiṣicyantenarendraiḥpatibhiḥsaha,pādayoḥ imāni padmānikhalu yaiḥ kulastriyaḥ narendraiḥ patibhiḥsaha adhirājye abhiṣicyante
vāryamāṇassubahuśo mārīcena sa rāvaṇaḥ na virodho balavatā kṣamo rāvaṇa tena te,rāvaṇa balavatā tena virodha: te na kṣama: mārīcena subahuśa: vāryamāṇaḥ sa: rāvaṇa:
pāduke cāsya rājyāya nyāsaṃ datvā puna:puna: nivartayāmāsa tato bharataṃ bharatāgraja:,bharatāgraja: rājyāya asya pāduke nyāsam datvā tata: puna:puna: bharatam nivartayāmāsa
tadyathā hyasya kāryasya na bhavatyanyathā gatiḥtadbhavāneva dṛṣṭārthassañcintayitu marhati,tat tathāhi asya kāryasya gatiḥ anyathā na bhavati tat dṛṣṭārthaḥ bhavāneva sañcintayitum arhati
tato'smin bahulībhūtekaulīnesarvatogate bhakṣitassasuhṛdrāmorākṣasairitiviśrute praviśyāśvāsyacāpitvaṃsītāṃrahasisāntvaya dhanadhānyaiścakāmaiścaratnaiścānāṃpralobhaya,tataḥ sasuhṛt rāmaḥ rākṣasaiḥ bhakṣitaḥ iti asmin bahulībhūte kaulīne sarvatoga viśrute tvam praviśya sītām āśvāsya rahasi sāntvaya enām dhanadhānyaiśca kāmaiśca ratnaiśca pralobhaya
tatra cāpi mahātmāno nāpaśyañjanakātmajāmhartāraṃ rāvaṇaṃ vāpi sugrīvapriyakāriṇaḥ,mahātmānaḥ sugrīvapriyakāriṇaḥ tatra cāpi janakātmajām hartāram rāvaṇaṃ vāpi nāpaśyan
yannimittamimaṃ deśaṃ kṛṣṇājinajaṭādharaḥ hitvā rājyaṃ praviṣṭastvaṃ tatsarvaṃ vaktumarhasi,tvam rājyam hitvā kṛṣṇājinajaṭādharaḥ kinnimittam imaṃ deśam praviṣṭaḥ tat sarvam vaktum arhasi
paṭahaṃ cārusarvāṅgī pīḍya śete śubhastanīcirasya ramaṇaṃ labdhvā pariṣvajyeva bhāminī,cārusarvāṅgī śubhastanī bhāminī cirasya ramaṇam labdhvā pariṣvajyeva paṭaham pīḍya śete
ananyahṛdayāṃbhaktāṃmaccittaparivartinīm ahamapyavagacchāmimaithilīṃjanakātmajām,maccittaparivartinīm janakātmajām maithilīm ananyahṛdayām bhaktām ahamapi avagacchāmi
sa taiḥ praharaṇairghorairbhinnagātro na vivyatherāmaḥ pradīptairbahubhirvajrairiva mahācalaḥ,ghoraiḥ praharaṇai taiḥ bhinnagātraḥ saḥ rāmaḥ pradīpaiḥ bahubhiḥ vajraiḥ mahācala iva na vivyathe
pratigṛhya tu tāṃ pūjāmṛṣidattāṃ pratāpavānrāmaṃ dāśarathiṃ rāmo jāmadagnyo'bhyabhāṣata,pratāpavān jāmadagnya: rāma: ṛṣidattām tām pūjām pratigṛhya dāśarathiṃ rāmam abhyabhāṣata
gatenavimānenahaṃsayuktenabhāsvatā prahṛṣṭaścapratītaścababhaurāmaḥkuberavat,prahṛṣṭaśca pratītaśca rāmaḥ khagatena haṃsayuktena bhāsvatā vimānena kuberavat babhau
giriṃ kuberasya gato'tha vālayaṃ sabhāṃ gato vā varuṇasya rājñaḥasaṃśayaṃ dāśaratherna mokṣyase mahādrumaḥ kālahato'śaneriva,kālahataḥ kuberasya girim vā ālayam gataḥ rājñaḥ varuṇasya sabhām gato vā mahādrumaḥ aśaneriva dāśaratheḥ na mokṣyase
prāpya dukhaṃ vane śyāmā māṃ manmathavikarśitam naṣṭaduḥkheva hṛṣṭeva sādhvī sādhvabhyabhāṣata,śyāmā sādhvī vane duḥkham prāpya naṣṭa duḥkheva hṛṣṭeva manmathavikarśitam mām sādhu abhyāṣata
roṣātprasphuramāṇoṣṭha ssugrīvaṃ prati lakṣmaṇaḥdadarśa vānarānbhīmākaniṣkindhāyā bahiścarān,sugrīvam prati roṣāt prasphuramāṇoṣṭhaḥ lakṣmaṇaḥ kiṣkindhāyāḥ bahiścarān bhīmān vānarān dadarśa
yamevādhātumicchanti tāpasā ssatataṃ vanetasyāsau dṛśyate dhūma ssaṅkulaḥ kṛṣṇavartmanaḥ,vane tāpasāḥ satatam yameva ādhātum icchanti tasya kṛṣṇavartmanaḥ asau saṅkulaḥ dhūmaḥ dṛśyate
rāmo'yamitivijñāyajahāsavikṛtasvanam abhyadhāvatasaṅkakṛddhoharīvanidrāvayanraṇe,ayam rāmaḥiti vijñāya vikṛtasvanam jahāsa saṅkakṛddhaḥ raṇe harīn vitrāsayan abhyadhāvata
astaṃ dinakare yāte rakṣasāṃ nilayaṃ puram praviṣṭo'hamavijñāto rakṣobhirbhīmavikramaiḥ,dinakare astaṃ yāte aham bhīmavikramaiḥ rakṣobhiḥ avijñātaḥ rakṣasām nilayam puram praviṣṭaḥ
avajānannahaṃ mohādbālo'yamiti rāghavamviśvāmitrasya tāṃ vedimabhyadhāvaṃ kṛtatvaraḥ,aham mohāt ayam bālaḥ iti rāghavam avajānan kṛtatvaraḥ viśvāmitrasya tām vedim abhyadhāvam
rodanādatiniśśvāsādbhūmisaṃsparśanādapi na tvāṃ devīmahaṃ manye rājña ssarvajñāvadhāraṇāt,rodanāt atiniśśvāsāt bhūmisaṃsparśanādapi rājñaḥ saṃjñāvadhāraṇāt tvām devīm aham na manye
te tatra pītvā pānīyaṃ vimalaṃ śītamavyayamnirvṛtāssaṃvigāhante vanāni vanagocarāḥ,vanagocarāḥ te vimalam śītam avyayam pānīyam pītvā nirvṛtāḥ vanāni saṃ vigāhante
atisṛṣṭaṃ surairekaṃ tryambakāya yuyutsavetripuraghnaṃ naraśreṣṭha bhagnaṃ kākutstha yattvayā,naraśreṣṭha kākutstha yat ttvayā bhagnaṃ yuyutsave tryambakāya surai: atisṛṣṭaṃ tripuraghnam ekam
tvāmevaikaṃmahābāhuṃcāpahastamarindamam tridaśānātivartantejitendriyamivādhayaḥ vikramasvamahābuddhe karmāṇimamapaśyataḥ,mahābāhum śūlahastam arindamam tvām ekameva tridaśāḥ jitendriyam ādhayaḥ nātivartante mahābuddhe vikramasva mama karmāṇi taḥ paśyata:
rākṣasānāṃsahasraiścavṛtaḥparamadurjayaḥ gṛhebhyaḥpuṣpavarṣeṇakīryamāṇastadāyayau,tadā paramadurjayaḥ rākṣasānām sahasraiḥ vṛtaḥ gṛhebhyaḥ puṣpavarṣeṇa kīryamāṇaḥ yayau
guṇānrāmasya kathaya priyasya mama vānara cittaṃ harasi me saumya nadīkūlaṃ yathā rayaḥ,vānara mama priyasya rāmasya guṇān kathaya saumya nadīkūlam rayaḥ yathā me cittam harasi
sa mahāsattvasannādaḥ śailapīḍānimittajaḥpṛthivīṃ pūrayāmāsa diśaścopavanāni ca,śailapīḍānimittajaḥ saḥ mahāsattvasannādaḥ pṛthivīm diśaśca upavanāni ca pūrayāmāsa
satyameveśvaro loke satyaṃ padmāśritā sadāsatyamūlāni sarvāṇi satyānnāsti paraṃ padam,loke satyameva īśvaraḥ padmā sadā satyam āśritā sarvāṇi satyamūlāni satyāt param padam nāsti
tamadriśṛṅgapratimaṃkirīṭinaṃspṛśantamādityamivā'tmatejasā vanaukasaḥprekṣyavivṛddhamadbhutaṃ bhayārdhitādudruviretatastataḥ,adriśṛṅgapratimam kirīṭinam ātmatejasā ādityam spṛśantamiva adbhutam vivṛddham tam vanaukasaḥ prekṣya bhayārditāḥ tatastataḥ dudruvire
tamaṅke bharataṃ kṛtvā rāmo vacanamabravītśyāmaṃ nalinapatrākṣaṃ mattahaṃsasvaraṃ svayam,rāmaḥ śyāmam nalinapatrākṣam mattahaṃsa svaram taṃ bharatam svayam aṅke kṛtvā vacanam abravīt
tāmādāya tu mañjūṣāmāyasīṃ yatra taddhanu:suropamaṃ te janakamūcurnṛpatimantriṇa:,te nṛpatimantriṇa: yatra tat dhanu: tām āyasīm mañjūṣām ādāya suropamam janakam ūcu:
adyatemaccharaiścinnaṃśirojvalitakuṇḍalam kravyādāvyapakarṣantuvikīrṇaṃraṇapāṃsuṣu,adya maccharaiḥ chinnam raṇapāṃsuṣu vikīrṇam jvalitakuṇḍalam teśiraḥ kranyādāḥ vyapakarṣantu
etattaduktamavyaktamakṣaraṃbrahmanirmitam devānāṃhṛdayaṃsaumya guhyaṃrāmaḥparantapa,saumya parantapa avyaktam akṣaram devānām hṛdayam guhyam tat etat brahma rāmaḥ nirmitam uktam
yathā vai mṛgasaṅghāśca gomāyuścaiva bhairavamvāśyante śakunāścāpi pradīptāmabhito diśam api svasti bhavettasyā rājaputryā mahābala,mahābala mṛgasaṅghāśca gomāyuśca śakunāścāpi pradīptām diśam abhitaḥ yathā bhairavam vāśyante rājaputryāḥ tasyāḥ svasti api bhavet
punareva mahābāhurmayā bhrātrā ca saṅgataḥayodhyāṃ vanavāsāttu praviśatvanagho'naghe,anaghe anaghaḥ mahābāhuḥ mayā bhrātrā ca saṅgataḥ vanavāsāt punareva ayodhyām praviśatu
atyantasukhasañcārā madhyāhne sparśatassukhāḥdivasāssubhagādityāścāyāsaliladurbhagāḥ,madhyāhne sparśataḥ sukhāḥ atyantasukhasañcārāḥ divasāḥ subhagādityāḥ chāyāsaliladurbhagāḥ
tava prasādādbhavatu devadevamamepsitamevamastviti deveśo vākyamuktvā gatastadā,devadeva tava prasādāt mama īpsitam bhavatu evam astu iti deveśa: vākyaṃ uktvā tadā gata:
kṣudra dhiktvāṃ tu hīnārthaṃ mṛtyumanveṣase dhruvamraṇe prāpsyase santiṣṭha na me jīvan gamiṣyāsi,kṣudra hīnārtham tvām dhik dhruvam mṛtyum anveṣase santiṣṭha raṇe prāpsyase jīvan me na gamiṣyāsi
taistusaṃsparśanaṃpāpairnasahepāpakarmabhiḥ amoghaḥkriyatāṃrāma: tatrateṣuśarottamaḥ,rāma pāpakarmabhiḥ taiḥ pāpaiḥ tat sparśanam nasaheyam śarottamaḥ tatra teṣu amoghaḥ kriyatām
so'haṃ bhujābhyāṃ dīrghābhyāṃ saṃkṛṣyāsminvane carān siṃhavdipamṛgavyāghrān bhakṣayāmi samantataḥ,saḥ aham asmin vane dīrghābhyām bhujābhyām asmin vane samantataḥ carān siṃhavdipamṛgavyāghrān saṃkṛṣya bhakṣayāmi
kvanu vatsyati dharmātmā vṛkṣamūlamupāśritaḥso'tyantasukhita ssūta kimaśiṣyati rāghavaḥ,sūta dharmātmā vṛkṣamūlam upāśritaḥ kvanu vatsyati atyanta sukhitaḥ sa: rāghavaḥ kim aśiṣyati
vasanti hi mahātmānastatra sūryasamaprabhāḥdevairapyarcitā ssamyagdevarūpā maharṣayaḥ,tatra sūryasamaprabhāḥ devaiḥ api arcitāḥ devarūpāḥ mahātmānaḥ maharṣayaḥ samyak vasanti hi
videharājasya sutā tathā sītā tapasvinīduḥkhasyānucitā duḥkhaṃ vane paryudvijiṣyati,tathā tapasvinī duḥkhasya anucitā videharājasya sutā sītā vane duḥkham paryudvijiṣyati
candrārkataruṇābhāsāṃ niryuktāṃ śibikāṃ śubhām āsthāya prayayau śrīmānbharata ssaparicchadaḥ,śrīmān bharataḥ candrārkataruṇābhāsām niryuktām śubhām śibikām āsthāya saparicchadaḥ prayayau
bhūtvāśakunayassarvepraviṣṭāścariporbhalam vidhānaṃvihitaṃyaccataddhṛṣṭavāsamupasthitāḥ,sarve śakunayaḥ bhūtvā ripoḥ balam praviṣṭāḥ yat vidhānam vihitam tat dṛṣṭavā samupasthitāḥ
iti pādātayodhāśca hastyaśvārohabandhakāḥanāthāstaṃ vidhiṃ labdhvā vācametāmudīrayan,pādātayodhāśca hastyaśvarohabandhakāḥ tam vidhim labdhavā anāthāḥ iti etām vācam udīrayan
adeśakālesamprāptaityayaṃyadvibhīṣaṇaḥ vivakṣātatrame'stīyaṃtāṃnibodhayathāmati,ayaṃvibhīṣaṇaḥ ādeśakāle: samprāptaḥitiyat tatra: me: yathāmati: iyaṃvivakṣā: asti: tām nibodha:
śāśvatī khalu te kīrtirlokānanucariṣyatiyastvaṃ kṛcchragataṃ rāmaṃ pratyānayitumicchasi,yaḥ tvam kṛcchragatam rāmam pratyānayitum icchasi te śāśvatī kīrtiḥ lokān anucariṣyati
ābabhāṣe gajastatra plaveyaṃ daśayojanamgavākṣo yojananānyāha gamiṣyāmīti viṃśatim,tatra gajaḥ daśayojanam plaveyam ābabhāṣe gavākṣaḥ viṃśatim yojanāni gamiṣyāmi iti āha
te tārkṣyabalasampannāssarve yuddhaviśāradā:vicaranto'rdayandarpātsiṃhavyāghramahoragān,tārkṣyabalasampannā: yuddhaviśāradā: te sarve vicaranta: darpāt siṃhavyāghramahoragān ardayan
rāmomātaramāsādyavivarṇāṃśokakarśitām jagrāhapraṇataḥpādaumanomātuḥpraharṣayan,rāmaḥ vivarṇām śokakarśitām mātaram āsādya praṇataḥ mātuḥ manaḥ praharṣayan pādau jagrāha
kimāha sītā hanumaṃstattvataḥ kathayādya meetena khalu jīviṣye bheṣajenāturo yathā,hanumān sītā kim āha adya tattvataḥ me kathaya āturaḥ bheṣajena yathā etena jīviṣye khalu
sa kṛtvā niścayaṃ rāma sopādhyāyagaṇastadā yajñakarmaṇi vedajño yaṣṭuṃ samupacakrame,rāma tadā vedajña: sa: sopādhyāyagaṇa: yajñakarmaṇi niścayam kṛtvā yaṣṭum samupacakrame
naitachacithilayābuddhyātvaṃvesatimahadantaram kva ca svajanasamvāsaḥkva ca nīcaparāśrayaḥ,svajanasamvāsaḥ kva ca nīcaparāśrayaḥ kvaca etat mahat antaram tvam śithilayatā buddhyā na vesati
tatastau prītisampannau harīśvaranareśvarauparasparakṛtāśvāsau kathayā pūrvavṛttayā,tataḥ prītisampannau tau harīśvaranareśvarau pūrvavṛttayā kathayā parasparakṛtāśvāsau
sugrīvaṃbrūhigatvāśurājānaṃvacanānmama yathāsandeśamaklībaṃślakṣṇayāparayāgirā,rājānam sugrīvam āśu: gatvā: mama: vacanāt yathāsandeśam parayā: ślakṣṇayā: girā aklībam brūhi:
tata: prīta ssahasrākṣo rahasyastutitarpita:dīrghamāyustadā prādācchunaśśephāya rāghava,rāghava tata: rahasyastutitarpita: sahasrākṣa: prīta: tadā śuna:śephāya dīrgham āyu: prādāt
na himadbāhusṛṣṭānāmastrāṇāhimavānapi soḍhumutsahatevegamantarikṣamathomahī,madbāhusṛṣṭānām āstrāṇām vegam himanānapi soḍhum na utsahatehi antarikṣam atho mahī
na dṛṣṭapūrvaṃ kalyāṇaṃ sukhaṃ vā patipauruṣeapi putre 'pi paśyeyamiti rāmā'sthitaṃ mayā,rāma patipauruṣe kalyāṇam sukhaṃ vā na dṛṣṭapūrvam putre'pi paśyeyam iti mayā āsthitam
tatoyānānyupārūḍhāssarvādaśarathastriyaḥ kausalyāṃpramukhekṛtvāsumitrāṃcāpiniryayuḥ kaikeyyāsahitāḥsarvānandigrāmamupāgaman,tataḥ sarvāḥ daśarathastriyaḥ yānāni upārūḍhāḥ kausalyām sumitrāṃcāpi pramukhekṛtvā niryayuḥ sarvāḥ kaikeyyā sahitāḥ nandigrāmam upāyayuḥ
samākṣipto'smi sahasā paṅgūkṛtaparākramaḥpratilomena vātena mahānauriva sāgare,sāgare pratilomena vātena mahānauriva paṅgūkṛtaparākramaḥ sahasā samākṣiptaḥ asmi
tuṅgapadmakajuṣṭābhirnīlābhirvanarājibhiḥsottarīyamivāmbhodaiḥ śṛṃgāntaravilambibhiḥ,tuṅgapadmakajuṣṭābhi: nīlābhiḥ vanarājibhiḥ śṛṅgāntaravilambibhiḥ ambhodaiḥ sottarīyamiva
pratigṛhya sa tadvākyaṃ sūtaḥ punarupāyayaurāmasya bhavanaṃ śīghraṃ rāmamānayituṃ punaḥ,saḥ sūtaḥ tat vākyam pratigṛhya punaḥ rāmam ānayitum śīghram rāmasya bhavanam upāyayau
athavākapinaikenakṛtaṃnaḥkadanaṃmahat dur jñeyāḥkāryagatayobrūtayasyayathāmati,athavā: ekena: kapinā: naḥ mahat kadanam kṛtam kāryagatayaḥ dur jñeyāḥ yasya: yathāmati: brūta:
iha santo na vā santi sato vā nānuvartase tathāhi viparītā te buddhirācāravarjitā,iha santaḥ na vā santi sataḥ nānuvartase vā tathāhi ācāravarjitā te buddhiḥ viparītā
matpurīmapradhṛṣyāṃ vā'gamane kiṃ prayojanamāyodhane vā kiṃ kāryaṃ pṛcchayatāmeṣa durmatiḥ,apradhṛṣyām matpurīm āgamane kiṃ prayojanam āyodhane vā kiṃ kāryam eṣaḥ durmatiḥ pṛcchyatām
tānicicchedabāṇaughaiścakrāṇitu sa rāghavaḥ āyudhāni ca citrāṇirāvaṇasyacamūmukhe,saḥrāghavaḥ bāṇaughaiḥ tāni cakrāṇi rāvaṇasya āyudhāni ca camūmukhe ciccheda
saḥpitṛvyasyasaṅkruddhaḥindrajiccharamādade uttamaṃrakṣasāṃmadhyeyamadattaṃmahābalam,saḥindrajit pitṛvyasya saṅkruddhaḥ rakṣasām madhye yamadattam mahābalam uttamam śaram ādade
asandeśāttu rāmasya tapasaścānupālanātna tvāṃ kurmi daśagrīva bhasma bharmārha tejasā,bhasmārha daśagrīva rāmasya asandeśāt tapasaḥ anupālanāt tejasā tvām bhasma na kurmi
ihāśramapade'smākaṃ bahavaḥ puṇyadarśanāḥmṛgāścaranti sahitāścamarāssṛmarāstathā,asmākam iha āśramapade puṇyadarśanāḥ bahavaḥ mṛgāḥ sṛmarāḥ tathā camarāḥ sahitāḥ caranti
mantriṇastu narendrasya rātriṃ paramasatkṛtā:ūṣu stemuditā ssarve guṇai ssarvaissamanvitā:,sarvai: guṇai: samanvitā: narendrasya mantriṇastu paramasatkṛtā: muditā: rātrim ūṣu:
kṣipraṃ visṛja vaidehīṃ mā tvā ghoreṇa cakṣuṣā daheddahanabhūtena vṛtramindrāśaniryathā,kṣipram vaidehīm visṛja tvā indrāśaniḥ vṛtraṃ yathā dahanabhūtena ghoreṇa cakṣuṣā mā dahet
vyasaneṣu manuṣyāṇāṃ bhṛśaṃ bhavati duḥkhitaḥ utsaveṣu ca sarveṣu piteva parituṣyati,manuṣyāṇām vyasaneṣu bhṛśam du:khita: bhavati sarveṣu utsaveṣu piteva parituṣyati
taṃ māṃ rāmakṛtodyogaṃ tvannimittamihāgatamsugrīvasacivaṃ devi buddhyasva pavanātmajam,devi taṃ mām rāmakṛtodyogam tvannimittam iha āgatam sugrīvasacivam pavanātmajam buddhyasva
sukhasuptā tvayā sārdhaṃ jānakī pūrvamutthitāvāyasa ssahasotpatya vidadāra stanāntare,tvayā sārdham sukhasuptā jānakī pūrvam utthitā vāyasaḥ sahasā utpatya stanāntare vidadāra
yasmānnivāritā caiva saṅgati: putrakāmyayāapatyaṃ sveṣu dāreṣu tasmānnotpādayiṣyatha,yasmāt putrakāmyayā saṅgati: nivāritā tasmāt sveṣu dāreṣu apatyam notpādayiṣyatha
svayaṃ vare kila prāptā tvamanena yaśasvinārāghaveṇeti me site kathā śrutimupāgatā,sīte tvam yaśasvinā rāghaveṇa svayaṃvare prāptā kila iti kathā me śrutim upāgatā
athopaviṣṭe nṛpatau tasminparabalārdane tataḥ praviviśu śśeṣā rājāno lokasammatāḥ,atha parabalārdane tasmin nṛpatau upaviṣṭe tataḥ lokasammatāḥ śeṣāḥ rājānaḥ praviviśuḥ
śayitaṃ ca ciraṃ tena duḥkhārtena mahātmanāmayāpi vividhairvākyaiḥ kṛcchrādutthāpitaḥ punaḥ,duḥkhārtena tena mahātmanā śayitaṃ ca mayāpi vividhaiḥ vākyaiḥ kṛcchrāt punaḥ utthāpitaḥ
athovācaraghuśreṣṭassāgaraṃdāruṇaṃvacaḥ adyatvāṃśoṣayiṣyāmisapātāḻaṃmahārṇava:,atha raghuśreṣṭa sāgaram dāruṇam vacaḥ uvāca mahārṇava adya sapātāḻam tvām śoṣayiṣyāmi
paśyasāgaramakṣobhyaṃvaidehivaruṇālayam apāramabhigarjantaṃśaṅkhaśuktisamākulam,vaidehi akṣobhyam varuṇālayam apāramiva abhigarjantam śaṅkhaśuktisamākulam sāgaram paśya
sa śailaṃ sāgarānūpaṃ vīryavānavalokayannānāpuṣpaphalairvṛkṣairanukīrṇaṃ sahasraśaḥ,vīryavān saḥ śailam sahasraśaḥ nānāpuṣpaphalaiḥ vṛkṣaiḥ anukīrṇam sāgarānūpam avalokayan
samṛddhastaistu parito vidhaman rakṣasāṃ balam śaknuyāṃ na tu saṃprāptuṃ paraṃ pāraṃ mahodadheḥ,taiḥ paritaḥ samṛddhaḥ rakṣasām balam vidhaman mahodadheḥ paraṃ pāram samprāptum na śaknuyām
athādadesūryamarīcikalpaṃ sa brahmadaṇḍāntakakākalakalpam ariṣṭamaindraṃniśitaṃsupuṅkhaṃrāmaśśaraṃmārutatulyavegam,atha saḥrāmaḥ sūryamarīcikalpam brahmadaṇḍāntakakālakalpam ariṣṭam niśitam supuṅkham mārutatulyavegam aindraṃśaram ādade
śarairāvāritastasya saṃyuge patageśvaraḥkulāyamupasamprāptaḥ pakṣīva prababhau tadā,tadā saṃyuge tasya śaraiḥ āvāritaḥ patageśvaraḥ kulāyam upasamprāptaḥ pakṣīva prababhau
sa yūpākṣo'śrupūrṇākṣaḥpitṛvyenihateraṇe avaruhyarathātkṣipraṃkṣīṇeṣukhaṅgamādade,raṇe pitṛvye nihate saḥ yūpākṣaḥ aśrupūrṇākṣaḥ kṣīṇeṣuḥ kṣipram rathāt avaruhya khaṅgam ādade
āruhyaparvatāgrebhyomahābhravipulā: śilāḥ muñcantivipulākārānamṛtyorudvijantica rākṣasānāṃcasadṛśāḥpiśācānāṃcaromaśāḥ etasyasainyābahavovicarantyagnitejasaḥ,rākṣasānām piśācānaṃca: sadṛśāḥ romaśāḥ āgnitejasaḥ bahavaḥ etasyavipulākārāḥ sainyāḥ āruhya: parvatāgrebhyaḥ mahābhravipulāḥ śilāḥ muñcanti: mṛtyoḥ naudvijanti: vicaranti:
kṛtaprayatnakarmāṇaḥsarvaevavanecarāḥ ratnairarthaiścavividhaissampūjyantāṃvibhīṣaṇa,vibhīṣaṇa kṛtaprayatnakarmāṇaḥ sarve vanecarāḥ ratnaiḥ vividhaiḥ arthaiśca sampūjyantām
teṣāṃ cintayatāṃ rāma buddhirāsīnmahātmanāmkṣīrodamathanaṃ kṛtvā rasaṃ prāpsyāma tatra vai,rāma cintayatām teṣām mahātmanām buddhi: āsīt kṣīrodamathanam kṛtvā tatra rasam prāpsyāma
yatra tiṣṭhati dharmajñastapasā svena bhāvitaḥmerusāvarṇirityeva khyāto vai brahmaṇā samaḥ,dharmajñaḥ svena tapasā bhāvitaḥ brahmaṇā samaḥ merusāvarṇiḥ ityeva khyātaḥ yatra tiṣṭhati
sāgarasyenamevegomārutasyevamegatiḥ naitaddāśarathirvedahyāsādayatitenamām,me: vegaḥ sāgarasyeva: me: gatiḥ mārutasyena: etat dāśarathiḥ naveda: tena: mām āsādayatihi:
tasya vānara rājasya śrutvā vāyusuto vacaḥdikṣu sarvāsu vikrāntānpreṣayāmāsa vānarān,vāyusutaḥ tasya vānararājasya vacaḥ śrutvā sarvāsu dikṣu vikrāntān vānarān preṣayāmāsa
astaṃ gacchati yatrārkastasmingirivare sthitāḥsantapta hemamahābhāsastasmātkoṭyo daśa cyutāḥ,yatra arkaḥ astaṃ gacchati tasmin girivare sthitāḥ santaptahemamahābhāsa daśa koṭyaḥ tasmāt cyutāḥ
tamevaṃ vratasampannamapradhṛṣyaparākramam loka pālopamaṃ nāthamakāmayata medinī,evaṃ vratasampannam apradhṛṣyaparākramam lokapālopamam tam medinī nātham akāmayata
rathenamamabhūmiṣṭhaṃśīghraṃyāhiraghūttamam āhūyabhūtalaṃyātaḥkurudevahitaṃmahat,mama rathena śīghram bhūmiṣṭham raghūttamam yāhi āhūya bhūtalam yātaḥ mahat devahitam kuru
śikharairvikirāmaināṃlaṅkāṃmuṣṭabhirevavā itismadadhiresarvemanāṃsiharipuṅgavāḥ,enām laṅkām śikharaiḥ muṣṭibhirevavā vikirāma itisarve haripuṅgavāḥ manāṃsi dadhire sma
yā na tuṣyati rājyena putrārthe dīrghadarśinī yayāhaṃ sarvabhūtānāṃ priyaḥ prasthāpito vanamadyedānīṃ sakāmā sā yā mātā madhyamā mama,dīrghadarśinī yā putrārthe rājyena na tuṣyati yayā sarvabhūtānām priyaḥ aham vanam prasthāpitaḥ yā mama madhyamā mātā sā adya sakāmā
viditaṃ vo yathā rātrau māyāvī sa mahāsuraḥ māṃ samāhvayata krūro yuddhākāṅkṣī sudurmatiḥ,sudurmatiḥ mahāsuraḥ māyāvī kruddhaḥ yuddhākāṅkṣī yathā rātrau mām samāhvayata vaḥ viditaṃ
etacchrutvā priyaṃ vākyaṃ brahmaṇā samudāhṛtamsarve maharṣayo devāḥ prahṛṣṭāste'bhavaṃstadā,tadā brahmaṇā samudāhṛtam etat priyaṃ vākyam śrutvā te devā: maharṣaya: sarve prahṛṣṭā: abhavan
tata ssapuruṣavyāghrastaddhanaṃ lakṣmaṇaḥ svayam yathoktaṃ brāhmaṇendrāṇāṃmadadāddhanado yathā,tataḥ puruṣavyāghraḥ saḥ lakṣmaṇaḥ dhanado yathā tat dhanam yathoktam svayam brāhmaṇendrāṇām adadāt
āplavantaḥ plavantaśca garjantaśca plavaṅgamāḥ kṣevaḻanto ninadantaste jagmurvai dakṣiṇāṃ diśam,te plavaṅgamāḥ plavantaḥ aplavantaḥ garjantaśca kṣveḻantaḥ ninadanta: dakṣiṇāṃ diśam jagmuḥ vai
tata śśailavaraṃ ramyaṃ babhūvābhirato muni: bhārgavaścyavano nāma himavantamupāśrita:,tata: ramyam śailavaram abhirata: bhārgava: cyavano nāma himavantam upāśrita:
tasya tadvacanaṃ śrutvā vāyorakliṣṭakarmaṇa:apahāsya tato vākyaṃ kanyāśatamathābravīt,tata: akliṣṭakarmaṇa: tasya vāyo: tat vacanam śrutvā apahāsya kanyāśatam atha vākyam abravīt
alaṅkṛto'yaṃ deśaśca yatra saumitriṇā saha vaidehyā cānayā rāma vatsyasi tvamarindama,arindama rāma saumitriṇā saha anayā vaidehyāca yatra vatsyasi ayam deśaśca alaṅkṛtaḥ
asuhṛdbhirmamāmitrairnityamantaradarśibhiḥmama doṣānasambhūtān śrāvito rāghavānujaḥ,rāghavānujaḥ asuhṛdbhi: nityam antaradarśibhiḥ amitraiḥ mama asambhūtān doṣān śrāvitaḥ
dīptabhogairivākīrṇaṃ bhujaṅgairvaruṇālayam avagāḍhaṃ mahāsattvairnānāśailasamākulam sudurgaṃ durgamārgaṃ tamagādha masurālayam,dīptabhogairiva bhujaṅgeḥ ākīrṇam varuṇālayam mahāsattvai: avagāḍham nānāśailasamākulam sudurgam durgamārgam agādham masurālayam
upaśeṣemahābāho: māṃvihāyatapasvinīm priyāmivasamālaśiṣyapṛthivīṃpuruṣarṣabha,mahābāho puruṣarṣabha tapasvinīm mām vihāya pṛthivīm priyāmiva samālaśiṣya upaśeṣe
ākranditanirānandā sāsrakaṇṭhajanākulāayodhyāyāmavatatā sā vyatīyāya śarvarī,ayodhyāyām ākranditanirānandā sāsrakaṇṭhajanākulā avatatāḥ sā śarvarī vyatīyāya
tatpuṣpakaṃkāmagamaṃvimānamupasthitaṃbhūdharasannikāśam dṛṣṭavātadāvismayamājagāmarāmassasaumitrirudārasattva:,tadā sasaumitriḥ udārasattvaḥ rāmaḥ upasthitam kāmagamam bhūdharasannikāśam tat puṣpakam vimānam dṛṣṭavā vismayam ājagāma
